Country,Ranking,Economy,(thousands),
NCL,179,New Caledonia,266,
VUT,180,Vanuatu,259,
WSM,181,Samoa,192,
STP,182,São Tomé and Principe,186,
LCA,183,St. Lucia,184,
GUM,184,Guam,168,
CHI,185,Channel Islands,163,
CUW,186,Curaçao,156,
KIR,187,Kiribati,110,
VCT,188,St. Vincent and the Grenadines,109,
GRD,189,Grenada,106,
TON,190,Tonga,106,
VIR,191,Virgin Islands (U.S.),104,
FSM,192,"Micronesia, Fed. Sts.",104,
ABW,193,Aruba,103,
SYC,194,Seychelles,91,
ATG,195,Antigua and Barbuda,91,
IMY,196,Isle of Man,87,
ADO,197,Andorra,73,
DMA,198,Dominica,72,
BMU,199,Bermuda,65,
CYM,200,Cayman Islands,59,
GRL,201,Greenland,56,
ASM,202,American Samoa,55,
KNA,203,St. Kitts and Nevis,55,
MNP,204,Northern Mariana Islands,55,
MHL,205,Marshall Islands,53,
FRO,206,Faroe Islands,48,
SXM,207,Sint Maarten (Dutch part),38,
MCO,208,Monaco,38,
LIE,209,Liechtenstein,37,
TCA,210,Turks and Caicos Islands,34,
SMR,211,San Marino,32,
MAF,212,St. Martin (French part),32,
PLW,213,Palau,21,
TUV,214,Tuvalu,10,
,,,,
WLD,,World,"7,259,692",
,,,,
LIC,,Low income,"621,978",
MIC,,Middle income,"5,239,285",
LMC,,  Lower middle income,"2,878,467",
UMC,,  Upper middle income,"2,360,818",
LMY,,Low & middle income,"5,861,263",
EAP,,  East Asia & Pacific,"2,020,656",
ECA,,  Europe & Central Asia,"263,566",
LAC,,  Latin America & Caribbean,"525,173",
MNA,,  Middle East & North Africa,"357,313",
SAS,,  South Asia,"1,721,153",
SSA,,  Sub-Saharan Africa,"973,403",
HIC,,High income,"1,398,429",
EMU,,  Euro area,"338,302",
,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.,,,
